name,lon,lat
OTHER OFFENSES,-122.4058622146545,37.79791171050281
DRUG/NARCOTIC,-122.4265159381267,37.794396402593065
BURGLARY,-122.40211669411931,37.79653616582818
DRUG/NARCOTIC,-122.46576419140798,37.78571976686954
DRUG/NARCOTIC,-122.41710489555551,37.77432428679077
OTHER OFFENSES,-122.39708918386793,37.753598788032654
ASSAULT,-122.43594130469113,37.721061675040715
ASSAULT,-122.43594130469113,37.721061675040715
OTHER OFFENSES,-122.40784537411074,37.78509432101032
ASSAULT,-122.42329475171353,37.7706495415688
ASSAULT,-122.42329475171353,37.7706495415688
OTHER OFFENSES,-122.41405629189116,37.782793107100616
LARCENY/THEFT,-122.40653911514815,37.75648641093089
NON-CRIMINAL,-122.41405629189116,37.782793107100616
ASSAULT,-122.39708918386793,37.753598788032654
ASSAULT,-122.39708918386793,37.753598788032654
BRIBERY,-122.39708918386793,37.753598788032654
DRUG/NARCOTIC,-122.40836857934458,37.78077842537316
LARCENY/THEFT,-122.40684425627676,37.739401252810886
OTHER OFFENSES,-122.39708918386793,37.753598788032654
OTHER OFFENSES,-122.41485526196459,37.70941164348847
OTHER OFFENSES,-122.402346586116,37.78900333821394
WARRANTS,-122.40952991327822,37.765718439528214
DRUG/NARCOTIC,-122.45270634032181,37.769215670589396
WARRANTS,-122.4128037530002,37.805773987569644
BURGLARY,-122.44067110847878,37.776483282983705
OTHER OFFENSES,-122.4388080419505,37.723601448356135
OTHER OFFENSES,-122.4388080419505,37.723601448356135
WARRANTS,-122.39617125184772,37.784602760324475
LARCENY/THEFT,-122.39617125184772,37.784602760324475
ROBBERY,-122.47114555295009,37.7638796121694
OTHER OFFENSES,-122.46576419140798,37.78571976686954
ASSAULT,-122.40353208006536,37.80496888639588
LARCENY/THEFT,-122.40211669411931,37.79653616582818
DRUG/NARCOTIC,-122.40836857934458,37.78077842537316
OTHER OFFENSES,-122.41626183683351,37.78537508463757
ASSAULT,-122.418480564808,37.77589844620397
WARRANTS,-122.41836018197365,37.78314989782107
OTHER OFFENSES,-122.42547895155032,37.720232555659365
WEAPON LAWS,-122.42547895155032,37.720232555659365
BURGLARY,-122.4085684452275,37.788759421470324
STOLEN PROPERTY,-122.43577384639478,37.76245918462147
DRIVING UNDER THE INFLUENCE,-122.42375439550864,37.80150331315271
DRUG/NARCOTIC,-122.43577384639478,37.76245918462147
DRUG/NARCOTIC,-122.40836857934458,37.78077842537316
VANDALISM,-122.40211669411931,37.79653616582818
OTHER OFFENSES,-122.43577384639478,37.76245918462147
LARCENY/THEFT,-122.39617125184772,37.784602760324475
OTHER OFFENSES,-122.42547895155032,37.720232555659365
WEAPON LAWS,-122.47114555295009,37.7638796121694
OTHER OFFENSES,-122.4089776054129,37.79108869095424
TRESPASS,-122.40952991327822,37.765718439528214
OTHER OFFENSES,-122.50936756681314,37.77896292139718
FORGERY/COUNTERFEITING,-122.40952991327822,37.765718439528214
WARRANTS,-122.41710489555551,37.77432428679077
ASSAULT,-122.43594130469113,37.721061675040715
VANDALISM,-122.4202119649494,37.78822254242629
DRUG/NARCOTIC,-122.40307000084677,37.785268630908725
LARCENY/THEFT,-122.40784537411074,37.78509432101032
DRUG/NARCOTIC,-122.40307000084677,37.785268630908725
OTHER OFFENSES,-122.40211669411931,37.79653616582818
LARCENY/THEFT,-122.40307000084677,37.785268630908725
ASSAULT,-122.47769604897356,37.76359154387582
WARRANTS,-122.4089776054129,37.79108869095424
NON-CRIMINAL,-122.40952991327822,37.765718439528214
SUSPICIOUS OCC,-122.41790397756377,37.785167087551706
NON-CRIMINAL,-122.40914009133978,37.73682350355258
LARCENY/THEFT,-122.40669059226074,37.785207191841934
ASSAULT,-122.42607958054528,37.76142677574725
OTHER OFFENSES,-122.42638445080627,37.76464393726198
SUSPICIOUS OCC,-122.42607958054528,37.76142677574725
OTHER OFFENSES,-122.4145446685607,37.75729929741014
OTHER OFFENSES,-122.42638445080627,37.76464393726198
DRUG/NARCOTIC,-122.42638445080627,37.76464393726198
LARCENY/THEFT,-122.4078777877327,37.78596800767754
DRUG/NARCOTIC,-122.43369928162741,37.804551986613454
DRUG/NARCOTIC,-122.43369928162741,37.804551986613454
OTHER OFFENSES,-122.43456373730044,37.784150491588676
ASSAULT,-122.42173418983829,37.78829612755392
DRUG/NARCOTIC,-122.41790397756377,37.785167087551706
NON-CRIMINAL,-122.41790397756377,37.785167087551706
OTHER OFFENSES,-122.4069709882245,37.772527360757046
WEAPON LAWS,-122.3824252860555,37.73503850618643
OTHER OFFENSES,-122.39362273934292,37.783079119147104
OTHER OFFENSES,-122.39806344539456,37.77956584602927
DRUG/NARCOTIC,-122.41405629189116,37.782793107100616
WARRANTS,-122.3824252860555,37.73503850618643
ASSAULT,-122.41304597196554,37.77386177716113
VANDALISM,-122.42173418983829,37.78829612755392
OTHER OFFENSES,-122.42173376776309,37.76329969459385
RECOVERED VEHICLE,-122.40340479147905,37.775420706711
OTHER OFFENSES,-122.38212890805876,37.72805316652785
WEAPON LAWS,-122.43369928162741,37.804551986613454
OTHER OFFENSES,-122.41190223263031,37.75262847676064
WARRANTS,-122.42193507717741,37.76613438751412
WARRANTS,-122.4078777877327,37.78596800767754
NON-CRIMINAL,-122.40914009133978,37.73682350355258
OTHER OFFENSES,-122.47399933941392,37.7280571434848
OTHER OFFENSES,-122.41954956878328,37.78495901126281
DRUG/NARCOTIC,-122.41022618689449,37.75513000341966
OTHER OFFENSES,-122.4086487351704,37.77731102740327
DRUG/NARCOTIC,-122.4134733313121,37.775163352976286
LARCENY/THEFT,-122.40589536988726,37.78673421849833
WARRANTS,-122.4086487351704,37.77731102740327
OTHER OFFENSES,-122.39806344539456,37.77956584602927
OTHER OFFENSES,-122.40549508828131,37.73428666284133
OTHER OFFENSES,-122.40549508828131,37.73428666284133
OTHER OFFENSES,-122.4134733313121,37.775163352976286
ASSAULT,-122.48648872806062,37.781893780957475
OTHER OFFENSES,-122.40589536988726,37.78673421849833
OTHER OFFENSES,-122.44589358121208,37.780124287805634
ASSAULT,-122.44589358121208,37.780124287805634
OTHER OFFENSES,-122.40724737976521,37.71559738159544
OTHER OFFENSES,-122.47399933941392,37.7280571434848
NON-CRIMINAL,-122.4069709882245,37.772527360757046
VANDALISM,-122.39464073518023,37.724293777516706
LARCENY/THEFT,-122.4076335207421,37.78418935014246
DRUG/NARCOTIC,-122.41022618689449,37.75513000341966
OTHER OFFENSES,-122.41423384903842,37.754098688206746
DRUG/NARCOTIC,-122.4134733313121,37.775163352976286
OTHER OFFENSES,-122.42173376776309,37.76329969459385
DRUG/NARCOTIC,-122.41431785788087,37.77994440520465
WARRANTS,-122.41431785788087,37.77994440520465
SUSPICIOUS OCC,-122.39464073518023,37.724293777516706
OTHER OFFENSES,-122.41790397756377,37.785167087551706
ASSAULT,-122.43626687050518,37.74277155928575
OTHER OFFENSES,-122.391492869002,37.72391466634309
OTHER OFFENSES,-122.41998344769743,37.76827267636187
ASSAULT,-122.42695563170948,37.76924706320703
OTHER OFFENSES,-122.41859672745865,37.75383820485006
OTHER OFFENSES,-122.391492869002,37.72391466634309
WARRANTS,-122.41022014296566,37.80132256920577
OTHER OFFENSES,-122.39362273934292,37.783079119147104
OTHER OFFENSES,-122.41790397756377,37.785167087551706
OTHER OFFENSES,-122.41771034472549,37.78423628778867
ASSAULT,-122.42607958054528,37.76142677574725
OTHER OFFENSES,-122.46293809838627,37.778196045709144
OTHER OFFENSES,-122.42515538606274,37.73284081359085
